Year,County,Month,Male,Female,Unknown,Total
2020,Prince_Georges,1,101,90,7,198
2020,Prince_Georges,2,81,85,8,174
2020,Prince_Georges,3,57,49,6,112
2020,Prince_Georges,4,9,10,1,20
2020,Prince_Georges,5,10,13,1,24
2020,Prince_Georges,6,135,138,16,289
2018,Wicomico,1,7,5,0,12
2018,Wicomico,10,8,11,0,19
2018,Wicomico,11,9,10,0,19
2018,Wicomico,12,4,9,0,13
2018,Wicomico,2,1,9,0,10
2018,Wicomico,3,7,7,0,14
2018,Wicomico,4,4,11,0,15
2018,Wicomico,5,4,5,0,9
2018,Wicomico,6,9,11,0,20
2018,Wicomico,7,10,10,0,20
2018,Wicomico,8,6,12,0,18
2018,Wicomico,9,9,17,0,26
2019,Wicomico,1,7,9,0,16
2019,Wicomico,10,11,18,0,29
2019,Wicomico,11,8,11,0,19
2019,Wicomico,12,12,4,0,16
2019,Wicomico,2,11,7,0,18
2019,Wicomico,3,9,2,0,11
2019,Wicomico,4,5,4,0,9
2019,Wicomico,5,13,8,0,21
2019,Wicomico,6,8,8,0,16
2019,Wicomico,7,6,6,0,12
2019,Wicomico,8,9,16,0,25
2019,Wicomico,9,13,12,0,25
2020,Wicomico,1,7,9,0,16
2020,Wicomico,2,11,14,0,25
2020,Wicomico,3,11,6,0,17
2020,Wicomico,4,0,1,0,1
2020,Wicomico,5,1,4,0,5
2020,Wicomico,6,14,6,0,20
2018,Caroline,1,2,1,0,3
2018,Caroline,10,2,5,0,7
2018,Caroline,11,6,11,0,17
2018,Caroline,12,1,1,0,2
2018,Caroline,2,3,1,0,4
2018,Caroline,3,6,4,0,10
2018,Caroline,4,6,3,0,9
2018,Caroline,5,1,4,0,5
2018,Caroline,6,14,9,0,23
2018,Caroline,7,3,3,0,6
2018,Caroline,8,9,2,0,11
2018,Caroline,9,5,4,0,9
2019,Caroline,1,2,1,0,3
2019,Caroline,10,9,6,0,15
2019,Caroline,11,3,5,0,8
2019,Caroline,12,9,6,0,15
2019,Caroline,2,2,2,0,4
2019,Caroline,3,0,3,0,3
2019,Caroline,4,7,5,0,12
2019,Caroline,5,4,7,0,11
2019,Caroline,6,2,3,0,5
2019,Caroline,7,4,2,0,6
2019,Caroline,8,7,3,0,10
2019,Caroline,9,7,3,0,10
2020,Caroline,1,4,0,0,4
2020,Caroline,2,1,0,0,1
2020,Caroline,3,5,1,0,6
2020,Caroline,4,0,0,0,0
2020,Caroline,5,0,0,0,0
2020,Caroline,6,5,1,0,6
2018,Garrett,1,0,0,1,1
2018,Garrett,10,3,4,0,7
2018,Garrett,11,0,2,0,2
2018,Garrett,12,2,1,0,3
2018,Garrett,2,1,2,0,3
2018,Garrett,3,4,1,0,5
2018,Garrett,4,3,0,0,3
2018,Garrett,5,2,2,0,4
2018,Garrett,6,0,0,0,0
2018,Garrett,7,2,2,1,5
2018,Garrett,8,2,0,0,2
2018,Garrett,9,3,2,0,5
2019,Garrett,1,2,1,0,3
2019,Garrett,10,5,1,0,6
2019,Garrett,11,4,0,0,4
2019,Garrett,12,1,3,0,4
2019,Garrett,2,1,0,0,1
2019,Garrett,3,2,1,0,3
2019,Garrett,4,0,0,0,0
2019,Garrett,5,0,0,0,0
2019,Garrett,6,4,1,0,5
2019,Garrett,7,2,0,0,2
2019,Garrett,8,4,3,0,7
2019,Garrett,9,5,1,0,6
2020,Garrett,1,5,0,0,5
2020,Garrett,2,1,0,0,1
2020,Garrett,3,1,0,0,1
2020,Garrett,4,0,0,0,0
2020,Garrett,5,0,0,0,0
2020,Garrett,6,4,3,0,7
2018,Queen_Annes,1,4,0,0,4
2018,Queen_Annes,10,3,5,0,8
2018,Queen_Annes,11,3,4,0,7
2018,Queen_Annes,12,3,2,0,5
2018,Queen_Annes,2,2,4,0,6
2018,Queen_Annes,3,3,0,0,3
2018,Queen_Annes,4,1,2,0,3
2018,Queen_Annes,5,4,1,0,5
2018,Queen_Annes,6,9,0,0,9
2018,Queen_Annes,7,1,1,0,2
2018,Queen_Annes,8,6,2,0,8
2018,Queen_Annes,9,3,5,0,8
2019,Queen_Annes,1,2,0,0,2
2019,Queen_Annes,10,2,1,0,3
2019,Queen_Annes,11,1,5,0,6
2019,Queen_Annes,12,3,0,0,3
2019,Queen_Annes,2,2,0,0,2
2019,Queen_Annes,3,2,4,0,6
2019,Queen_Annes,4,1,2,0,3
2019,Queen_Annes,5,3,1,0,4
2019,Queen_Annes,6,2,3,0,5
2019,Queen_Annes,7,4,2,0,6
2019,Queen_Annes,8,4,1,0,5
2019,Queen_Annes,9,2,1,0,3
2020,Queen_Annes,1,3,2,0,5
2020,Queen_Annes,2,1,2,0,3
2020,Queen_Annes,3,3,2,0,5
2020,Queen_Annes,4,1,0,0,1
2020,Queen_Annes,5,0,0,0,0
2020,Queen_Annes,6,3,5,0,8
2018,Worcester,1,2,2,0,4
2018,Worcester,10,2,4,0,6
2018,Worcester,11,15,4,0,19
2018,Worcester,12,8,2,0,10
2018,Worcester,2,1,2,1,4
2018,Worcester,3,1,1,0,2
2018,Worcester,4,2,0,0,2
2018,Worcester,5,4,1,0,5
2018,Worcester,6,2,3,0,5
2018,Worcester,7,2,4,0,6
2018,Worcester,8,15,5,0,20
2018,Worcester,9,5,1,1,7
2019,Worcester,1,7,4,0,11
2019,Worcester,10,5,5,0,10
2019,Worcester,11,4,3,0,7
2019,Worcester,12,2,5,0,7
2019,Worcester,2,0,5,0,5
2019,Worcester,3,7,2,0,9
2019,Worcester,4,5,7,0,12
2019,Worcester,5,5,6,0,11
2019,Worcester,6,7,8,0,15
2019,Worcester,7,7,1,1,9
2019,Worcester,8,8,5,0,13
2019,Worcester,9,11,6,0,17
2020,Worcester,1,4,9,0,13
2020,Worcester,2,4,1,1,6
2020,Worcester,3,4,1,0,5
2020,Worcester,4,1,0,0,1
2020,Worcester,5,2,1,0,3
2020,Worcester,6,6,2,0,8
