Year,County,Month,Male,Female,Unknown,Total
2018,Frederick,1,53,8,2,63
2018,Frederick,10,59,21,0,80
2018,Frederick,11,55,11,0,66
2018,Frederick,12,47,14,0,61
2018,Frederick,2,28,12,0,40
2018,Frederick,3,39,14,1,54
2018,Frederick,4,48,12,1,61
2018,Frederick,5,35,5,0,40
2018,Frederick,6,44,9,1,54
2018,Frederick,7,34,16,1,51
2018,Frederick,8,37,21,1,59
2018,Frederick,9,42,11,2,55
2019,Frederick,1,52,21,0,73
2019,Frederick,10,60,17,1,78
2019,Frederick,11,55,20,0,75
2019,Frederick,12,57,25,1,83
2019,Frederick,2,37,12,0,49
2019,Frederick,3,43,17,0,60
2019,Frederick,4,41,12,0,53
2019,Frederick,5,46,24,1,71
2019,Frederick,6,52,14,0,66
2019,Frederick,7,61,17,0,78
2019,Frederick,8,59,23,0,82
2019,Frederick,9,65,30,0,95
2020,Frederick,1,52,16,0,68
2020,Frederick,2,43,19,0,62
2020,Frederick,3,46,10,0,56
2020,Frederick,4,20,9,0,29
2020,Frederick,5,36,8,0,44
2020,Frederick,6,32,17,0,49
2018,Prince_Georges,1,343,108,34,485
2018,Prince_Georges,10,354,125,20,499
2018,Prince_Georges,11,301,89,10,400
2018,Prince_Georges,12,271,105,14,390
2018,Prince_Georges,2,281,93,30,404
2018,Prince_Georges,3,315,94,27,436
2018,Prince_Georges,4,251,97,26,374
2018,Prince_Georges,5,319,109,33,461
2018,Prince_Georges,6,267,92,27,386
2018,Prince_Georges,7,323,103,24,450
2018,Prince_Georges,8,309,131,33,473
2018,Prince_Georges,9,313,122,37,472
2019,Prince_Georges,1,323,115,19,457
2019,Prince_Georges,10,330,97,11,438
2019,Prince_Georges,11,287,101,7,395
2019,Prince_Georges,12,322,109,9,440
2019,Prince_Georges,2,223,88,14,325
2019,Prince_Georges,3,289,121,12,422
2019,Prince_Georges,4,356,112,19,487
2019,Prince_Georges,5,325,124,7,456
2019,Prince_Georges,6,291,106,8,405
2019,Prince_Georges,7,357,129,19,505
2019,Prince_Georges,8,323,121,11,455
2019,Prince_Georges,9,276,101,11,388
2020,Prince_Georges,1,316,117,8,441
2020,Prince_Georges,2,283,96,10,389
2020,Prince_Georges,3,171,67,3,241
2020,Prince_Georges,4,45,16,1,62
2020,Prince_Georges,5,65,47,0,112
2020,Prince_Georges,6,339,129,3,471
2018,Wicomico,1,27,10,0,37
2018,Wicomico,10,41,8,0,49
2018,Wicomico,11,27,9,0,36
2018,Wicomico,12,22,14,0,36
2018,Wicomico,2,23,4,0,27
2018,Wicomico,3,15,11,0,26
2018,Wicomico,4,18,2,0,20
2018,Wicomico,5,17,8,1,26
2018,Wicomico,6,18,3,0,21
2018,Wicomico,7,25,4,0,29
2018,Wicomico,8,30,8,0,38
2018,Wicomico,9,31,11,0,42
2019,Wicomico,1,35,6,0,41
2019,Wicomico,10,25,13,0,38
2019,Wicomico,11,33,11,0,44
2019,Wicomico,12,28,9,0,37
2019,Wicomico,2,25,11,0,36
2019,Wicomico,3,31,7,1,39
2019,Wicomico,4,36,14,0,50
2019,Wicomico,5,34,14,0,48
2019,Wicomico,6,31,2,0,33
2019,Wicomico,7,42,12,0,54
2019,Wicomico,8,31,11,0,42
2019,Wicomico,9,43,7,0,50
2020,Wicomico,1,42,9,0,51
2020,Wicomico,2,47,16,0,63
2020,Wicomico,3,33,10,0,43
2020,Wicomico,4,5,0,0,5
2020,Wicomico,5,7,6,0,13
2020,Wicomico,6,38,13,0,51
2018,Caroline,1,5,2,0,7
2018,Caroline,10,8,3,0,11
2018,Caroline,11,8,2,0,10
2018,Caroline,12,6,1,0,7
2018,Caroline,2,14,2,0,16
2018,Caroline,3,5,3,0,8
2018,Caroline,4,9,3,0,12
2018,Caroline,5,10,1,0,11
2018,Caroline,6,11,2,0,13
2018,Caroline,7,15,3,0,18
2018,Caroline,8,8,4,0,12
2018,Caroline,9,6,1,0,7
2019,Caroline,1,3,2,0,5
2019,Caroline,10,19,5,0,24
2019,Caroline,11,9,0,0,9
2019,Caroline,12,21,5,1,27
2019,Caroline,2,10,6,0,16
2019,Caroline,3,16,4,0,20
2019,Caroline,4,9,4,0,13
2019,Caroline,5,13,5,0,18
2019,Caroline,6,10,3,0,13
2019,Caroline,7,9,4,0,13
2019,Caroline,8,14,3,0,17
2019,Caroline,9,11,4,0,15
2020,Caroline,1,16,5,0,21
